TransactionID,CustomerID,BillingMonth,DataUsed_GB,PaymentStatus,PaymentMethod,SupportTickets
TXN-657158,C-10035,2024-03-01,31.75,Paid,USSD,0
TXN-689376,C-10037,2024-01-01,50.18,Paid,Bank Transfer,0
TXN-435422,C-10037,2024-02-01,125.13,Paid,USSD,0
TXN-329432,C-10037,2024-03-01,114.73,Paid,Bank Transfer,0
TXN-468088,C-10038,2024-01-01,75.48,Paid,Cash,0
TXN-934372,C-10038,2024-02-01,131.74,Paid,Cash,0
TXN-854746,C-10038,2024-03-01,76.62,Late,Card,0
TXN-562725,C-10039,2024-01-01,40.16,Paid,Card,0
TXN-586828,C-10039,2024-02-01,93.44,Paid,Bank Transfer,0
TXN-496660,C-10039,2024-03-01,139.38,Late,Cash,2
TXN-703350,C-10040,2024-01-01,31.28,Late,Cash,1
TXN-935128,C-10040,2024-02-01,74.52,Late,Cash,0
TXN-734586,C-10040,2024-03-01,10.23,Paid,Bank Transfer,0
TXN-222370,C-10041,2024-01-01,31.62,Late,Card,0
TXN-618774,C-10041,2024-02-01,44.59,Failed,Bank Transfer,0
TXN-741132,C-10041,2024-03-01,11.35,Late,USSD,0
TXN-594389,C-10042,2024-01-01,15.71,Paid,Card,0
TXN-251010,C-10042,2024-02-01,44.75,Paid,Card,0
TXN-224424,C-10042,2024-03-01,38.2,Paid,Bank Transfer,1
TXN-874254,C-10043,2024-01-01,36.56,Paid,Card,0
TXN-512684,C-10043,2024-02-01,41.97,Paid,Card,1
TXN-623223,C-10043,2024-03-01,77.78,Late,Cash,0
TXN-777443,C-10044,2024-01-01,23.3,Paid,Bank Transfer,0
TXN-442805,C-10044,2024-02-01,52.34,Paid,Cash,0
TXN-210134,C-10044,2024-03-01,94.22,Paid,USSD,0
TXN-472099,C-10045,2024-01-01,94.26,Paid,Card,1
TXN-522108,C-10045,2024-02-01,90.25,Paid,USSD,1
TXN-571520,C-10045,2024-03-01,116.03,Paid,Bank Transfer,1
TXN-951910,C-10046,2024-01-01,146.43,Paid,Cash,0
TXN-283838,C-10046,2024-02-01,48.24,Failed,Cash,0
TXN-419087,C-10046,2024-03-01,31.57,Paid,Card,0
TXN-962650,C-10047,2024-01-01,65.34,Paid,Card,1
TXN-973053,C-10047,2024-02-01,71.05,Paid,Card,0
TXN-768560,C-10047,2024-03-01,19.34,Failed,Card,1
TXN-535384,C-10048,2024-01-01,15.35,Paid,Cash,0
TXN-676180,C-10048,2024-02-01,15.68,Late,Cash,0
TXN-176882,C-10048,2024-03-01,10.36,Late,Card,0
TXN-500732,C-10049,2024-01-01,80.82,Paid,Bank Transfer,0
TXN-491763,C-10049,2024-02-01,123.63,Paid,Card,1
TXN-927361,C-10049,2024-03-01,43.23,Paid,Card,0
TXN-681559,C-10050,2024-01-01,8.04,Late,Card,0
TXN-982873,C-10050,2024-02-01,74.88,Failed,Bank Transfer,0
TXN-178667,C-10050,2024-03-01,131.74,Paid,Cash,0
TXN-451996,C-10051,2024-01-01,141.01,Paid,USSD,0
TXN-704987,C-10051,2024-02-01,63.15,Paid,Bank Transfer,0
TXN-484930,C-10051,2024-03-01,76.62,Late,Card,0
TXN-564551,C-10053,2024-01-01,114.73,Paid,Card,1
TXN-435422,C-10053,2024-02-01,95.53,Paid,Bank Transfer,0
TXN-171804,C-10053,2024-03-01,40.16,Paid,Card,0
TXN-201633,C-10054,2024-01-01,92.05,Paid,USSD,0
TXN-629853,C-10054,2024-02-01,65.8,Paid,Cash,0
TXN-329432,C-10054,2024-03-01,75.48,Paid,Cash,0
TXN-934372,C-10055,2024-01-01,42.54,Paid,Card,0
TXN-590059,C-10055,2024-02-01,16.48,Paid,Bank Transfer,1
TXN-648123,C-10055,2024-03-01,139.38,Late,Cash,2
TXN-468088,C-10056,2024-01-01,89.59,Paid,Bank Transfer,0
TXN-854746,C-10056,2024-02-01,103.35,Paid,Bank Transfer,0
TXN-562725,C-10056,2024-03-01,93.44,Paid,Bank Transfer,0
TXN-777443,C-10057,2024-01-01,98.66,Paid,Card,1
TXN-442805,C-10057,2024-02-01,33.56,Paid,USSD,0
TXN-210134,C-10057,2024-03-01,116.03,Paid,Bank Transfer,1
TXN-874254,C-10058,2024-01-01,146.43,Paid,Cash,0
TXN-512684,C-10058,2024-02-01,48.24,Failed,Cash,0
TXN-623223,C-10058,2024-03-01,94.22,Paid,USSD,0
TXN-586828,C-10060,2024-01-01,94.26,Paid,Card,1
TXN-496660,C-10060,2024-02-01,90.25,Paid,USSD,1
TXN-703350,C-10060,2024-03-01,74.52,Late,Cash,0
TXN-935128,C-10061,2024-01-01,10.23,Paid,Bank Transfer,0
TXN-734586,C-10061,2024-02-01,53.8,Paid,Cash,1
TXN-222370,C-10061,2024-03-01,31.28,Late,Cash,1
TXN-618774,C-10062,2024-01-01,31.62,Late,Card,0
TXN-741132,C-10062,2024-02-01,11.35,Late,USSD,0
TXN-594389,C-10062,2024-03-01,44.59,Failed,Bank Transfer,0
TXN-251010,C-10063,2024-01-01,15.71,Paid,Card,0
TXN-224424,C-10063,2024-02-01,44.75,Paid,Card,0
TXN-387086,C-10063,2024-03-01,38.2,Paid,Bank Transfer,1
TXN-949439,C-10064,2024-01-01,36.56,Paid,Card,0
TXN-373514,C-10064,2024-02-01,41.97,Paid,Card,1
TXN-315185,C-10064,2024-03-01,77.78,Late,Cash,0
TXN-171457,C-10066,2024-01-01,23.3,Paid,Bank Transfer,0
TXN-715783,C-10066,2024-02-01,52.34,Paid,Cash,0
TXN-836069,C-10066,2024-03-01,118.89,Paid,Bank Transfer,1
TXN-837882,C-10067,2024-01-01,107.56,Paid,Card,0
TXN-122949,C-10067,2024-02-01,128.74,Paid,Card,0
TXN-777085,C-10067,2024-03-01,31.57,Paid,Card,0
TXN-773413,C-10068,2024-01-01,65.34,Paid,Card,1
TXN-414800,C-10068,2024-02-01,71.05,Paid,Card,0
TXN-199677,C-10068,2024-03-01,19.34,Failed,Card,1
TXN-411320,C-10069,2024-01-01,15.35,Paid,Cash,0
TXN-391851,C-10069,2024-02-01,15.68,Late,Cash,0
TXN-157778,C-10069,2024-03-01,10.36,Late,Card,0
TXN-842263,C-10070,2024-01-01,80.82,Paid,Bank Transfer,0
TXN-660142,C-10070,2024-02-01,123.63,Paid,Card,1
TXN-398246,C-10070,2024-03-01,43.23,Paid,Card,0
TXN-562722,C-10071,2024-01-01,8.04,Late,Card,0
TXN-845173,C-10071,2024-02-01,74.88,Failed,Bank Transfer,0
TXN-250362,C-10071,2024-03-01,131.74,Paid,Cash,0
TXN-590011,C-10072,2024-01-01,141.01,Paid,USSD,0
TXN-496155,C-10072,2024-02-01,63.15,Paid,Bank Transfer,0
TXN-232145,C-10072,2024-03-01,76.62,Late,Card,0
TXN-657158,C-10073,2024-01-01,114.73,Paid,Card,1
TXN-235777,C-10073,2024-02-01,95.53,Paid,Bank Transfer,0
TXN-902092,C-10073,2024-03-01,40.16,Paid,Card,0
TXN-211425,C-10074,2024-01-01,92.05,Paid,USSD,0
TXN-794692,C-10074,2024-02-01,65.8,Paid,Cash,0
TXN-333333,C-10074,2024-03-01,75.48,Paid,Cash,0
TXN-277562,C-10075,2024-01-01,42.54,Paid,Card,0
TXN-166299,C-10075,2024-02-01,16.48,Paid,Bank Transfer,1
TXN-279589,C-10075,2024-03-01,139.38,Late,Cash,2
TXN-935105,C-10076,2024-01-01,89.59,Paid,Bank Transfer,0
TXN-171887,C-10076,2024-02-01,103.35,Paid,Bank Transfer,0
TXN-562479,C-10076,2024-03-01,93.44,Paid,Bank Transfer,0
TXN-590680,C-10077,2024-01-01,98.66,Paid,Card,1
TXN-175225,C-10077,2024-02-01,33.56,Paid,USSD,0
TXN-751790,C-10077,2024-03-01,116.03,Paid,Bank Transfer,1
TXN-405404,C-10078,2024-01-01,146.43,Paid,Cash,0
TXN-496660,C-10078,2024-02-01,48.24,Failed,Cash,0
TXN-704987,C-10078,2024-03-01,94.22,Paid,USSD,0
TXN-949439,C-10079,2024-01-01,94.26,Paid,Card,1
TXN-657158,C-10079,2024-02-01,90.25,Paid,USSD,1
TXN-689376,C-10079,2024-03-01,74.52,Late,Cash,0
TXN-435422,C-10080,2024-01-01,10.23,Paid,Bank Transfer,0
TXN-329432,C-10080,2024-02-01,53.8,Paid,Cash,1
TXN-468088,C-10080,2024-03-01,31.28,Late,Cash,1
TXN-934372,C-10081,2024-01-01,31.62,Late,Card,0
TXN-854746,C-10081,2024-02-01,11.35,Late,USSD,0
TXN-562725,C-10081,2024-03-01,44.59,Failed,Bank Transfer,0
TXN-586828,C-10082,2024-01-01,15.71,Paid,Card,0
TXN-496660,C-10082,2024-02-01,44.75,Paid,Card,0
TXN-703350,C-10082,2024-03-01,38.2,Paid,Bank Transfer,1
TXN-935128,C-10082,2024-01-01,36.56,Paid,Card,0
